GeneID,padj,pvalue,lfcSE,stat,log2FoldChange,baseMean,Symbol,Description,Direction,Significant
57161,1.45e-10,2.8e-12,0.2013,-6.987191,-1.406258,131.13,PELI2,pellino E3 ubiquitin protein ligase family member 2,Downregulated,True
105376951,0.00048,5.27e-05,0.3475,-4.043303,-1.4049423,12.62,LOC105376951,uncharacterized LOC105376951,Downregulated,True
125931,0.000301,3.01e-05,0.3343,-4.172435,-1.3948558,14.84,CEACAM20,CEA cell adhesion molecule 20,Downregulated,True
100133545,6.85e-12,9.94e-14,0.1872,-7.441744,-1.393325,51.73,MRPL23-AS1,MRPL23 antisense RNA 1,Downregulated,True
22943,1.2599999999999999e-30,1.6e-33,0.1153,-12.066101,-1.3908821,3867.75,DKK1,dickkopf WNT signaling pathway inhibitor 1,Downregulated,True
138065,0.000402,4.25e-05,0.3397,-4.093364,-1.3905823,15.4,RNF183,ring finger protein 183,Downregulated,True
107987374,3.79e-12,5.13e-14,0.1841,-7.528548,-1.3858312,56.98,LOC107987374,replaced by ID 100133545,Downregulated,True
105369308,3.28e-05,2.44e-06,0.2933,-4.712736,-1.3820508,32.89,LOC105369308,uncharacterized LOC105369308,Downregulated,True
107546764,0.0146,0.00311,0.4657,-2.957044,-1.3771681,7.4,LINC01976,long intergenic non-protein coding RNA 1976,Downregulated,True
692233,0.00121,0.000156,0.3625,-3.78141,-1.3705868,12.91,SNORD117,"small nucleolar RNA, C/D box 117",Downregulated,True
339804,0.00543,0.000941,0.4134,-3.307641,-1.3673732,11.8,C2orf74,chromosome 2 open reading frame 74,Downregulated,True
8862,0.00681,0.00125,0.415,-3.228262,-1.3398844,11.95,APLN,apelin,Downregulated,True
11314,0.0102,0.002,0.4324,-3.090042,-1.3362833,13.04,CD300A,CD300a molecule,Downregulated,True
105376436,0.00589,0.00104,0.4051,-3.280215,-1.3289354,14.3,LOC105376436,uncharacterized LOC105376436,Downregulated,True
10736,6.14e-06,3.54e-07,0.2608,-5.092334,-1.3280321,29.44,SIX2,SIX homeobox 2,Downregulated,True
143689,4.96e-05,3.96e-06,0.286,-4.613302,-1.3194961,23.31,PIWIL4,piwi like RNA-mediated gene silencing 4,Downregulated,True
64711,0.0199,0.00457,0.4642,-2.835803,-1.3163412,7.94,HS3ST6,heparan sulfate-glucosamine 3-sulfotransferase 6,Downregulated,True
